"","Sample","ROI","c"
"568","IDOR","P",4.61831399506111
"569","IDOR","T",3.63116256172669
"570","IDOR","T",3.755202046586
"571","IDOR","O",3.37549269621021
"572","IDOR","O",3.12703092818907
"573","IDOR","hemisphere",NA
"574","IDOR","hemisphere",NA
"575","IDOR","F",2.02060072546555
"576","IDOR","F",1.93765773857421
"577","IDOR","P",3.97702282428356
"578","IDOR","P",4.08088897917269
"579","IDOR","T",3.53565642809961
"580","IDOR","T",3.64783349464522
"581","IDOR","O",3.37692131527093
"582","IDOR","O",3.572847339915
"583","IDOR","hemisphere",NA
"584","IDOR","hemisphere",NA
"585","IDOR","F",1.91616502009084
"586","IDOR","F",2.01582879723378
"587","IDOR","P",4.77600045227878
"588","IDOR","P",3.85940270267739
"589","IDOR","T",3.53594415531202
"590","IDOR","T",3.26440581542622
"591","IDOR","O",3.08593192597175
"592","IDOR","O",3.10353061259297
"593","IDOR","hemisphere",NA
"594","IDOR","hemisphere",NA
"595","IDOR","F",2.01528767938075
"596","IDOR","F",1.91970658716705
"597","IDOR","P",4.59231769125961
"598","IDOR","P",4.3162466257357
"599","IDOR","T",3.91189695764934
"600","IDOR","T",4.04121146576218
"601","IDOR","O",2.93222508914724
"602","IDOR","O",3.21450907197354
"603","IDOR","hemisphere",NA
"604","IDOR","hemisphere",NA
"605","IDOR","F",2.0732212548966
"606","IDOR","F",2.09244596258101
"607","IDOR","P",3.78768039616012
"608","IDOR","P",4.13185484822796
"609","IDOR","T",3.41931072444676
"610","IDOR","T",3.51464674008763
"611","IDOR","O",3.56393200650063
"612","IDOR","O",3.99739068217597
"613","IDOR","hemisphere",NA
"614","IDOR","hemisphere",NA
"615","IDOR","F",2.10188732619966
"616","IDOR","F",1.96443329502864
"617","IDOR","P",3.77064666216535
"618","IDOR","P",3.54767719496848
"619","IDOR","T",3.5599739402934
"620","IDOR","T",3.31594076773616
"621","IDOR","O",2.99943145266756
"622","IDOR","O",3.37216371982278
"623","IDOR","hemisphere",NA
"624","IDOR","hemisphere",NA
"625","IDOR","F",2.0825434302393
"626","IDOR","F",2.02966608436155
"627","IDOR","P",5.34355152602738
"628","IDOR","P",4.47976937726027
"629","IDOR","T",3.3793131447384
"630","IDOR","T",3.43381750761415
"631","IDOR","O",3.47631016378079
"632","IDOR","O",3.44098551671687
"633","IDOR","hemisphere",NA
"634","IDOR","hemisphere",NA
"635","IDOR","F",1.86643538593199
"636","IDOR","F",1.90202934860904
"637","IDOR","P",4.798823333501
"638","IDOR","P",4.43721184875578
"639","IDOR","T",3.63741620758016
"640","IDOR","T",3.57593737921319
"641","IDOR","O",3.14220233308879
"642","IDOR","O",3.35276574634034
"643","IDOR","hemisphere",NA
"644","IDOR","hemisphere",NA
"645","IDOR","F",2.10642633095439
"646","IDOR","F",1.89062165904574
"647","IDOR","P",4.37705446483345
"648","IDOR","P",5.47077566578331
"649","IDOR","T",3.54759494019643
"650","IDOR","T",3.35663578399333
"651","IDOR","O",3.10422834457373
"652","IDOR","O",3.00344033949488
"653","IDOR","hemisphere",NA
"654","IDOR","hemisphere",NA
"655","IDOR","F",1.86477412078152
"656","IDOR","F",2.05130656365404
"657","IDOR","P",4.33973926338912
"658","IDOR","P",4.83639200455953
"659","IDOR","T",3.54442328450063
"660","IDOR","T",3.91831806791212
"661","IDOR","O",3.22340469989631
"662","IDOR","O",3.003216993338
"663","IDOR","hemisphere",NA
"664","IDOR","hemisphere",NA
"665","IDOR","F",1.85984120691522
"666","IDOR","F",1.84476510307315
"667","IDOR","P",4.59518108727754
"668","IDOR","P",4.33267885045217
"669","IDOR","T",4.32255874892023
"670","IDOR","T",4.10356052912815
"671","IDOR","O",2.85397298140437
"672","IDOR","O",3.16709226409981
"673","IDOR","hemisphere",NA
"674","IDOR","hemisphere",NA
"675","IDOR","F",2.08498997995312
"676","IDOR","F",2.03730365070124
"677","IDOR","P",4.10961066815612
"678","IDOR","P",4.52902043588781
"679","IDOR","T",3.95274762289632
"680","IDOR","T",3.99647733685328
"681","IDOR","O",3.09119275313232
"682","IDOR","O",3.50492532340289
"683","IDOR","hemisphere",NA
"684","IDOR","hemisphere",NA
"685","IDOR","F",2.01299022200928
"686","IDOR","F",2.02896350413658
"687","IDOR","P",4.43231819533472
"688","IDOR","P",3.97424894820936
"689","IDOR","T",3.47154679952471
"690","IDOR","T",3.46588015371683
"691","IDOR","O",3.47354213633205
"692","IDOR","O",3.28526649564757
"693","IDOR","hemisphere",NA
"694","IDOR","hemisphere",NA
"695","IDOR","F",2.1094266275706
"696","IDOR","F",2.01134176180532
"697","IDOR","P",3.97961672200607
"698","IDOR","P",4.19073267793206
"699","IDOR","T",3.59018070758849
"700","IDOR","T",3.65782649613651
"701","IDOR","O",3.41944270855575
"702","IDOR","O",3.81981396270314
"703","IDOR","hemisphere",NA
"704","IDOR","hemisphere",NA
"705","IDOR","F",1.92249524523364
"706","IDOR","F",1.92028796214357
"707","IDOR","P",4.5303918345374
"708","IDOR","P",4.13258922794923
"709","IDOR","T",3.34031440518201
"710","IDOR","T",3.30566388152517
"711","IDOR","O",3.04418150330435
"712","IDOR","O",3.15094923319282
"713","IDOR","hemisphere",NA
"714","IDOR","hemisphere",NA
"715","IDOR","F",2.05702573386577
"716","IDOR","F",1.94325506727539
"717","IDOR","P",4.1015941564567
"718","IDOR","P",4.10587532083866
"719","IDOR","T",3.6539929964823
"720","IDOR","T",3.53693120969444
"721","IDOR","O",3.16208009322035
"722","IDOR","O",3.02993389126145
"723","IDOR","hemisphere",NA
"724","IDOR","hemisphere",NA
"725","IDOR","F",2.00162526382803
"726","IDOR","F",1.84411210754122
"727","IDOR","P",3.43509502808284
"728","IDOR","P",3.5951967553531
"729","IDOR","T",3.36481155751608
"730","IDOR","T",3.22285357255511
"731","IDOR","O",3.63325124525642
"732","IDOR","O",3.54971602116875
"733","IDOR","hemisphere",NA
"734","IDOR","hemisphere",NA
"735","IDOR","F",1.98475724339477
"736","IDOR","F",1.92902473604323
"737","IDOR","P",3.85973795105972
"738","IDOR","P",3.82937125730522
"739","IDOR","T",3.71189907931648
"740","IDOR","T",3.42558605049453
"741","IDOR","O",3.04458483397593
"742","IDOR","O",3.35372168295307
"743","IDOR","hemisphere",NA
"744","IDOR","hemisphere",NA
"745","IDOR","F",1.98121432013235
"746","IDOR","F",1.96467996322417
"747","IDOR","P",4.80183805082063
"748","IDOR","P",4.55405169738035
"749","IDOR","T",3.82014504445928
"750","IDOR","T",3.82055663503358
"751","IDOR","O",3.03882320682934
"752","IDOR","O",2.82534639341653
"753","IDOR","hemisphere",NA
"754","IDOR","hemisphere",NA
"755","IDOR","F",1.85449947873209
"756","IDOR","F",1.98566572880423
"757","IDOR","P",4.72575295739716
"758","IDOR","P",4.03319343547889
"759","IDOR","T",3.39845572145251
"760","IDOR","T",3.23540196192625
"761","IDOR","O",2.96580237877135
"762","IDOR","O",2.95672213305634
"763","IDOR","hemisphere",NA
"764","IDOR","hemisphere",NA
"765","IDOR","F",2.06216491797881
"766","IDOR","F",1.93270355570484
"767","IDOR","P",4.14406031903513
"768","IDOR","P",3.74775424733277
"769","IDOR","T",3.32195656563564
"770","IDOR","T",3.61921764986871
"771","IDOR","O",3.03859762231736
"772","IDOR","O",3.22975486749999
"773","IDOR","hemisphere",NA
"774","IDOR","hemisphere",NA
"775","IDOR","F",1.97889415600529
"776","IDOR","F",2.04053346841871
"777","IDOR","P",4.53382548138565
"778","IDOR","P",4.40754374090657
"779","IDOR","T",4.01553457247974
"780","IDOR","T",3.72726777764724
"781","IDOR","O",3.89057850341059
"782","IDOR","O",4.03007661266442
