rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ129/SUBJ129_ses-3	93793.0	993067.0	1285458.29184
SUBJ129/SUBJ129_ses-3.long.SUBJ129_tmpl	93506.0	983241.0	1327694.52926
SUBJ130/SUBJ130_ses-1	99848.0	1058497.0	1481813.80664
SUBJ130/SUBJ130_ses-1.long.SUBJ130_tmpl	98970.0	1050597.0	1475386.79504
SUBJ130/SUBJ130_ses-2	99045.0	1040085.0	1464318.29261
SUBJ130/SUBJ130_ses-2.long.SUBJ130_tmpl	97916.0	1033527.0	1475386.79504
SUBJ130/SUBJ130_ses-3	99550.0	1049838.0	1422186.66673
SUBJ130/SUBJ130_ses-3.long.SUBJ130_tmpl	98956.0	1048870.0	1475386.79504
SUBJ132/SUBJ132_ses-1	121972.0	1243569.0	1971793.90105
SUBJ132/SUBJ132_ses-1.long.SUBJ132_tmpl	120404.0	1231972.0	1978319.88677
SUBJ132/SUBJ132_ses-2	120459.0	1224001.0	1978017.21552
SUBJ132/SUBJ132_ses-2.long.SUBJ132_tmpl	119562.0	1214029.0	1978319.88677
SUBJ132/SUBJ132_ses-3	117724.0	1215940.0	1990997.39659
SUBJ132/SUBJ132_ses-3.long.SUBJ132_tmpl	119399.0	1195565.0	1978319.88677
SUBJ133/SUBJ133_ses-1	113669.0	1177614.0	1771634.77821
SUBJ133/SUBJ133_ses-1.long.SUBJ133_tmpl	112037.0	1147738.0	1765605.9254
SUBJ133/SUBJ133_ses-2	112777.0	1158896.0	1747835.41457
SUBJ133/SUBJ133_ses-2.long.SUBJ133_tmpl	111957.0	1143460.0	1765605.9254
SUBJ133/SUBJ133_ses-3	112273.0	1142909.0	1770853.61449
SUBJ133/SUBJ133_ses-3.long.SUBJ133_tmpl	110552.0	1113664.0	1765605.9254
SUBJ133/SUBJ133_ses-4	111457.0	1127856.0	1788892.65804
SUBJ133/SUBJ133_ses-4.long.SUBJ133_tmpl	110569.0	1116885.0	1765605.9254
